train/rewards,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/actor_loss
-0.07101935,62016,0.01848292799995226,102.0,608,55,-8.694529800000002,1107,0.001,461958,1.2244340052791671
-0.07436257,62424,0.02085258094959107,102.0,612,55,-8.69181514,1114,0.001,462366,1.1987523541730993
-0.09626912,62832,0.025610604204748776,102.0,616,55,-8.6873901,1122,0.001,462774,1.2029152290493834
-0.10243526,63240,0.01713696407729431,102.0,620,55,-8.68912405,1129,0.001,463182,1.1832021650146036
-0.11443396,63648,0.05691777829162996,102.0,624,55,-8.669224689999998,1136,0.001,463590,1.186431773737365
-0.081799164,64056,0.014854183023357215,102.0,628,55,-8.667557409999999,1143,0.001,463998,1.174248966516233
-0.11019655,64464,0.028485010738721957,102.0,632,55,-8.66625777,1151,0.001,464406,1.1749945598490097
-0.1293953,64872,0.020414658965926397,102.0,636,55,-8.692832860000001,1158,0.001,464814,1.1367672354567284
-0.06985478,65280,0.022148731348387823,102.0,640,55,-8.71277892,1165,0.001,465222,1.138413805587619
-0.0922055,65688,0.04168035333300484,102.0,644,55,-8.73010433,1173,0.001,465630,1.1307087271821266
-0.096471414,66096,0.018964094511580234,102.0,648,55,-8.74896886,1180,0.001,466038,1.1631714689965342
-0.07765728,66504,0.01860454102393751,102.0,652,55,-8.732774599999999,1187,0.001,466446,1.1569251371364968
-0.079203926,66912,0.020850176696994287,102.0,656,55,-8.721106230000002,1194,0.001,466854,1.1385178893220191
-0.11329107,67320,0.014371043466049813,102.0,660,55,-8.743501099999998,1202,0.001,467262,1.1450355286691702
-0.12258909,67728,0.01785583856433411,102.0,664,55,-8.74389835,1209,0.001,467670,1.12866423293656
-0.09255931,68136,0.016525394634763692,102.0,668,55,-8.721916790000002,1216,0.001,468078,1.1260830830125248
-0.08747465,68544,0.017381284592499702,102.0,672,55,-8.655825310000003,1224,0.001,468486,1.0915183810626758
-0.12213411,68952,0.014669383672869527,102.0,676,55,-8.613992920000001,1231,0.001,468894,1.0981074793666017
-0.08243336,69360,0.014537436905883107,102.0,680,55,-8.615925699999998,1238,0.001,469302,1.0563168560757357
-0.085063085,69768,0.01328290028693885,102.0,684,55,-8.61231099,1245,0.001,469710,1.084671344242844
-0.0966415,70176,0.015158447838735347,102.0,688,55,-8.611832889999999,1253,0.001,470118,1.0948483534887725
-0.08190484,70584,0.017240191287105428,102.0,692,56,-8.540812890000002,1260,0.001,470526,1.0879399495966293
-0.08419646,70992,0.016067006161856447,102.0,696,56,-8.4901088,1267,0.001,470934,1.0495103317148544
-0.088959426,71400,0.021236721761798596,102.0,700,56,-8.420700759999999,1274,0.001,471342,1.0381558175180472
-0.09542217,71808,0.013551483700033642,102.0,704,56,-8.379962690000001,1282,0.001,471750,1.0173549839094573
-0.07639759,72216,0.013396898935110691,102.0,708,56,-8.40529805,1289,0.001,472158,1.0155576257144703
-0.07611121,72624,0.03611523229583148,102.0,712,56,-8.45828105,1296,0.001,472566,1.0033792292370516
-0.13229363,73032,0.03314458158474379,102.0,716,56,-8.43807211,1304,0.001,472974,1.0574658548130709
-0.09286689,73440,0.04034594427702912,102.0,720,56,-8.428130759999998,1311,0.001,473382,1.0228212206971412
-0.10399838,73848,0.01198235887568444,102.0,724,56,-8.419138539999999,1318,0.001,473790,0.9932412902514139
-0.109617755,74256,0.04160327558387436,102.0,728,56,-8.40740922,1325,0.001,474198,1.0432487948268068
-0.09851477,74664,0.010992228350255127,102.0,732,56,-8.430603970000002,1333,0.001,474606,1.001568292870241
-0.090043984,75072,0.009764263363025499,102.0,736,56,-8.4312891,1340,0.001,475014,1.0030131234842188
-0.099409625,75480,0.030963154235745177,102.0,740,56,-8.43386785,1347,0.001,475422,1.031823801059349
-0.07547441,75888,0.01212704382887037,102.0,744,56,-8.412873900000001,1355,0.001,475830,0.9812138781828039
-0.09509264,76296,0.01717800490658584,102.0,748,56,-8.43966419,1362,0.001,476238,0.988911977001265
-0.105098754,76704,0.016859536440403878,102.0,752,56,-8.448174090000002,1369,0.001,476646,1.0241763369709838
-0.09262913,77112,0.010480824295276156,102.0,756,56,-8.394210050000002,1376,0.001,477054,0.9791050716942432
-0.116260566,77520,0.0578244377028051,102.0,760,56,-8.37547819,1384,0.001,477462,0.9804630875587463
-0.09216981,77928,0.02059826010600755,102.0,764,56,-8.37962012,1391,0.001,477870,0.9703628444204143
-0.09363487,78336,0.010092780120698187,102.0,768,56,-8.366808740000002,1398,0.001,478278,0.9429883863411698
-0.12920341,78744,0.010737278909586808,102.0,772,56,-8.41670537,1405,0.001,478686,0.9642816279448715
-0.07778809,79152,0.012840879473871752,102.0,776,56,-8.40153829,1413,0.001,479094,0.9502123185232574
-0.066082194,79560,0.010658759965022625,102.0,780,56,-8.407865250000002,1420,0.001,479502,0.9411339152093027
-0.0944544,79968,0.04919232733036373,102.0,784,56,-8.3867985,1427,0.001,479910,0.9196663428755367
-0.082621634,80376,0.011325116849084403,102.0,788,56,-8.41456552,1434,0.001,480318,0.9455580290626077
-0.116927646,80784,0.017544824700784303,102.0,792,56,-8.38112355,1442,0.001,480726,0.9350662546999314
-0.063719265,81192,0.0090799655311047,102.0,796,56,-8.40573885,1449,0.001,481134,0.9230841935849657
-0.08691281,81600,0.011841914543480265,102.0,800,56,-8.446724170000001,1456,0.001,481542,0.9428514160361945
-0.06952035,82008,0.01614447567365406,102.0,804,56,-8.455544190000001,1463,0.001,481950,0.9283794024411369
-0.08481349,82416,0.011490055177287729,102.0,808,56,-8.43058205,1471,0.001,482358,0.935425648502275
-0.13019654,82824,0.014763124742517796,102.0,812,56,-8.38768731,1478,0.001,482766,0.9370432718127382
-0.08047523,83232,0.009869673533602526,102.0,816,56,-8.428230319999999,1485,0.001,483174,0.9167429980109719
