train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/rewards,time/fps,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates
0.001,604,-107.87452628999999,7674,-0.8473804,26,30.722739405885957,204152,338.0,11.549772885424145,203814
0.001,608,-108.39658275000002,7723,-1.0747207,26,30.01964951690132,205504,338.0,8.32694174657912,205166
0.001,612,-109.32323527,7769,-0.79183555,26,30.074009483382547,206856,338.0,10.549493502583024,206518
0.001,616,-110.17671330000002,7816,-0.9004072,26,29.884958696083203,208208,338.0,11.030750175199564,207870
0.001,620,-111.68473322,7862,-1.2398045,26,30.26837955000838,209560,338.0,9.120394579404909,209222
0.001,624,-113.52465252999998,7908,-0.80928457,26,30.22537187429575,210912,338.0,9.2262982694355,210574
0.001,628,-115.26383726999998,7955,-0.7816172,26,29.754607883430797,212264,338.0,11.735756759460156,211926
0.001,632,-117.00623768999999,8001,-0.87988144,26,29.74461446005917,213616,338.0,11.056786667665786,213278
0.001,636,-118.38668719000002,8046,-0.7913508,26,29.67038838538898,214968,338.0,12.594444275255034,214630
0.001,640,-119.36994814000002,8092,-0.692046,26,29.866640745535406,216320,338.0,13.024336859319337,215982
0.001,644,-120.62384695,8138,-0.8826049,26,30.094200687295587,217672,338.0,8.710291335215935,217334
0.001,648,-121.63801029,8185,-0.78753716,26,29.53391568336261,219024,338.0,9.318815166075554,218686
0.001,652,-122.03658377999999,8231,-0.8694718,26,29.57516567523663,220376,338.0,10.364440929960217,220038
0.001,656,-122.91297343999999,8278,-0.8166319,26,29.931765121821115,221728,338.0,9.47142066828598,221390
0.001,660,-123.70978979999998,8323,-0.87618095,26,29.63614758373012,223080,338.0,12.974853647883828,222742
0.001,664,-124.67211430000002,8369,-0.8696376,26,29.291651144535585,224432,338.0,8.649784056745338,224094
0.001,668,-125.42762466,8415,-0.87858915,26,29.485478508401904,225784,338.0,10.174354224162695,225446
0.001,672,-126.38035898,8460,-0.7762348,26,29.229680089555547,227136,338.0,12.135784598144554,226798
0.001,676,-128.09196245,8506,-0.9027315,26,29.10124539482523,228488,338.0,8.046855213726767,228150
0.001,680,-129.56878127000002,8553,-0.9220745,26,28.830160694009454,229840,338.0,9.286520373186416,229502
0.001,684,-130.74261664,8599,-0.55234087,26,28.566807233370266,231192,338.0,11.328112954924093,230854
0.001,688,-132.17005532000002,8645,-0.99081635,26,29.047136035896617,232544,338.0,9.269159660889553,232206
0.001,692,-132.77666666000002,8691,-1.2366737,26,29.191933739114795,233896,338.0,10.039696322390313,233558
0.001,696,-133.52768390999998,8738,-0.61784714,26,28.840075882228874,235248,338.0,7.8309196533536065,234910
0.001,700,-134.96490820000002,8785,-0.8126392,26,28.660508770914472,236600,338.0,8.391770051428551,236262
0.001,704,-136.33881117999996,8833,-0.9626725,26,28.935056799262235,237952,338.0,9.819521814761076,237614
0.001,708,-137.26993833,8881,-0.84528494,26,28.995861053466797,239304,338.0,8.825658473390094,238966
0.001,712,-137.49371915,8930,-0.9954467,26,28.843221754717405,240656,338.0,9.179053966110274,240318
0.001,716,-138.07242347,8976,-1.0133675,26,28.76142768182698,242008,338.0,7.037075724827467,241670
0.001,720,-137.75968878,9026,-0.69526404,26,28.429773071108485,243360,338.0,8.58187959497497,243022
0.001,724,-137.74817179,9075,-0.8544432,26,28.996193981734958,244712,338.0,9.343753994569271,244374
0.001,728,-137.27809996,9123,-0.77231026,26,28.584704291891065,246064,338.0,8.022323704330173,245726
0.001,732,-136.74373337999998,9171,-0.7674928,26,28.774580893431896,247416,338.0,10.090314696879076,247078
0.001,736,-135.78336474999998,9217,-0.8851743,26,28.55554612289519,248768,338.0,8.726913772391145,248430
0.001,740,-134.95059828,9267,-1.1186683,26,28.639385449110403,250120,338.0,13.02366098920269,249782
0.001,744,-133.88780383,9314,-0.91950095,26,28.317342171302208,251472,338.0,9.618911645821566,251134
0.001,748,-133.42692719000001,9361,-0.77596617,27,28.234844523774097,252824,338.0,7.893857426544618,252486
0.001,752,-133.97034139,9406,-0.7086481,27,28.481395890726844,254176,338.0,6.683172192446579,253838
0.001,756,-133.28873707999998,9453,-0.78917015,27,28.476177238148345,255528,338.0,8.26864299054682,255190
0.001,760,-132.45730104,9498,-0.62672687,27,28.477344106640334,256880,338.0,8.479417463378793,256542
