rollout/ep_len_mean,rollout/ep_rew_mean,train/rewards,time/total_timesteps,time/fps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/critic_loss
102.0,-10.82601757,-0.708547,62832,55,162792,616,12.1392983268289,1139,0.001,4.847683692095327
102.0,-10.81452561,-0.69213504,63240,55,163200,620,12.197680230234184,1146,0.001,4.12973172641268
102.0,-10.86053034,-0.68642473,63648,55,163608,624,11.93321226157394,1153,0.001,4.539165523706698
102.0,-10.72427079,-0.75366855,64056,55,164016,628,11.982555183709836,1161,0.001,4.516719691309274
102.0,-10.60618399,-0.71014524,64464,55,164424,632,11.922709259332395,1168,0.001,4.333900687741298
102.0,-10.53318486,-0.7039865,64872,55,164832,636,11.56688123590806,1175,0.001,4.244781273837183
102.0,-10.455428670000003,-0.6958695,65280,55,165240,640,11.376791243459664,1183,0.001,4.722436136474796
102.0,-10.339940369999999,-0.49521926,65688,55,165648,644,11.238310851302801,1190,0.001,3.296205458103442
102.0,-10.19294817,-0.6095627,66096,55,166056,648,11.144216313081628,1197,0.001,4.364489594510958
102.0,-10.04224166,-0.9874082,66504,55,166464,652,10.99891971139347,1205,0.001,4.07304979597821
102.0,-9.921907699999998,-1.0402867,66912,55,166872,656,10.980862879285626,1212,0.001,3.205355824208727
102.0,-9.77733192,-0.61403716,67320,55,167280,660,10.797502499000698,1220,0.001,4.07083509015102
102.0,-9.736539050000003,-0.64765006,67728,55,167688,664,10.45433328665939,1227,0.001,3.7005852612794614
102.0,-9.68832662,-0.5050051,68136,55,168096,668,10.208583682191138,1234,0.001,16.799360070158453
102.0,-9.65431025,-0.46809727,68544,55,168504,672,10.344375124164657,1242,0.001,2.8217959082594106
102.0,-9.662350629999999,-0.5244341,68952,55,168912,676,10.14597199009914,1249,0.001,8.347700405062414
102.0,-9.57666532,-0.6902532,69360,55,169320,680,9.971838128332998,1256,0.001,3.135352604529437
102.0,-9.42258088,-0.6455411,69768,55,169728,684,9.793797156390022,1264,0.001,2.70460776692512
102.0,-9.373741050000001,-0.662545,70176,55,170136,688,9.885244986590218,1271,0.001,2.9076340350450254
102.0,-9.25410323,-0.65300673,70584,55,170544,692,9.67968417148964,1279,0.001,2.8653208601708506
102.0,-9.12466642,-0.5339783,70992,55,170952,696,9.492012828004126,1286,0.001,2.8773816718774685
102.0,-9.028754189999999,-0.495019,71400,55,171360,700,9.24463758281633,1293,0.001,3.133661894237294
102.0,-8.94708146,-0.6552401,71808,55,171768,704,9.34221783806296,1301,0.001,9.277773652590957
102.0,-8.82959835,-0.6090912,72216,55,172176,708,9.192221192752614,1308,0.001,9.86313554323187
102.0,-8.76040132,-0.65902734,72624,55,172584,712,9.105562210083008,1315,0.001,3.4321718104914125
102.0,-8.58520262,-0.5484011,73032,55,172992,716,8.909589299968644,1323,0.001,7.936310707938437
102.0,-8.47948112,-0.57362896,73440,55,173400,720,9.070810355392156,1330,0.001,4.0548268965646335
102.0,-8.3235207,-0.533043,73848,55,173808,724,8.823308383717256,1337,0.001,2.193607521115565
102.0,-8.28754668,-0.6525495,74256,55,174216,728,8.8355125913433,1345,0.001,3.3498164798114813
102.0,-8.30477135,-0.4304081,74664,55,174624,732,8.73319891387341,1352,0.001,8.13904493229062
