time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.43149881152545705,3526,197880,-0.076866485,297840,0.001,1940,102.0,0.0014259774513501564,-8.0016823
56,0.4374624721559824,3533,198288,-0.06170932,298248,0.001,1944,102.0,0.0015087475566913637,-7.99623896
56,0.4347160896834205,3540,198696,-0.05351814,298656,0.001,1948,102.0,0.001547978865881519,-8.002562590000002
56,0.44128504044869366,3547,199104,-0.078724004,299064,0.001,1952,102.0,0.0016233469801840792,-7.946956570000001
56,0.44113411652106865,3554,199512,-0.059792027,299472,0.001,1956,102.0,0.0013018230136938155,-7.9495790799999995
56,0.42566589193016874,3561,199920,-0.073347494,299880,0.001,1960,102.0,0.0015778436189815264,-7.97889021
56,0.447163421441527,3569,200328,-0.09185832,300288,0.001,1964,102.0,0.00151524861169438,-7.968395099999999
56,0.47244981807820935,3576,200736,-0.075104006,300696,0.001,1968,102.0,0.0015837288790898324,-8.01905927
56,0.4504326114467546,3583,201144,-0.08830509,301104,0.001,1972,102.0,0.001484914036529303,-8.07286251
56,0.4175160509698531,3590,201552,-0.068003654,301512,0.001,1976,102.0,0.0020839052400939786,-8.11611995
56,0.4584589889820884,3597,201960,-0.0835283,301920,0.001,1980,102.0,0.0016193453812579095,-8.1130309
56,0.4290590148930456,3604,202368,-0.03796499,302328,0.001,1984,102.0,0.0015290964588262688,-8.106823630000001
56,0.42236516931477713,3611,202776,-0.096007764,302736,0.001,1988,102.0,0.0013209000582505455,-8.07017977
56,0.435350189314169,3619,203184,-0.057886425,303144,0.001,1992,102.0,0.0014792875433568935,-8.10384467
56,0.43742252857077357,3626,203592,-0.049075454,303552,0.001,1996,102.0,0.0014035216247030608,-8.1060146
56,0.46370633267888833,3633,204000,-0.09384418,303960,0.001,2000,102.0,0.0015186145224017273,-8.096077020000001
56,0.44789891792278663,3640,204408,-0.057202827,304368,0.001,2004,102.0,0.0014650460356029262,-8.09506542
56,0.40578508610818903,3647,204816,-0.0803454,304776,0.001,2008,102.0,0.0017458314058090123,-8.101005429999997
56,0.4412817760717635,3654,205224,-0.115496665,305184,0.001,2012,102.0,0.0013639572642597498,-8.11488838
56,0.4431679029675091,3662,205632,-0.07751578,305592,0.001,2016,102.0,0.0012931620825410767,-8.106621409999999
56,0.43301380118902993,3669,206040,-0.06499124,306000,0.001,2020,102.0,0.0014495380575467339,-8.090299940000001
56,0.4405786362933178,3676,206448,-0.06868098,306408,0.001,2024,102.0,0.0013853094407001183,-8.090736770000001
56,0.4243212576005973,3683,206856,-0.07856832,306816,0.001,2028,102.0,0.0013608387199187122,-8.07320586
