train/learning_rate,time/fps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,train/rewards,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean
0.001,8,16353,388,731094,10.131200056809645,131144,-0.20905146,-92.38615514999998,0.005489896812762778,338.0
0.001,8,16397,392,732446,9.984740736921863,132496,-0.27441698,-92.48019739000001,0.005612976518432064,338.0
0.001,8,16442,396,733798,10.105973960379877,133848,-0.3189349,-92.54199066000001,0.005444856865480322,338.0
0.001,8,16486,400,735150,10.163552493033324,135200,-0.2902003,-92.76690928000002,0.00602139515758178,338.0
0.001,7,18236,404,736502,10.229698090863652,136552,-0.24355121,-92.87352999999999,0.005968955707097062,338.0
0.001,7,18281,408,737854,10.147792940309062,137904,-0.2795713,-92.71135462000001,0.005274110568753449,338.0
0.001,7,18326,412,739206,10.071632024099136,139256,-0.2956468,-92.50939025000004,0.005679524254974132,338.0
0.001,7,18370,416,740558,10.065138610862416,140608,-0.26581144,-92.37128257,0.005310953709781832,338.0
0.001,7,18414,420,741910,10.05553438254362,141960,-0.28858715,-92.60788120000001,0.005893383736545826,338.0
0.001,7,18459,424,743262,10.25489486039743,143312,-0.28189653,-92.72478551,0.006072750011288159,338.0
0.001,7,18503,428,744614,10.122157917925591,144664,-0.31757846,-92.98406438,0.005496312687779672,338.0
0.001,7,18547,432,745966,10.299930208533473,146016,-0.30569503,-92.97662341000002,0.005956479069947667,338.0
0.001,7,18592,436,747318,10.139868078852546,147368,-0.31641677,-92.99704627000001,0.005237815678450306,338.0
0.001,7,18636,440,748670,10.03203066989515,148720,-0.2815212,-93.02934492,0.005559627105173319,338.0
0.001,8,18680,444,750022,10.182005269992986,150072,-0.26876456,-92.87542054999999,0.005699973665012499,338.0
0.001,8,18725,448,751374,10.132528669030004,151424,-0.27292195,-93.11892572999999,0.005415358604069733,338.0
0.001,8,18769,452,752726,10.15537413478603,152776,-0.21083571,-93.45671910000002,0.005991661553298669,338.0
0.001,8,18814,456,754078,10.234240097407053,154128,-0.29352295,-93.38339319999997,0.0057377377208101855,338.0
0.001,8,18858,460,755430,10.011284404957788,155480,-0.23994678,-93.59259352,0.005273031250617781,338.0
0.001,8,18904,464,756782,10.19214319759572,156832,-0.30242565,-93.78700527000001,0.006555050096237624,338.0
0.001,8,18949,468,758134,10.064714840883333,158184,-0.32003903,-94.15926346000002,0.00579307862067011,338.0
0.001,8,18995,472,759486,9.970352336499818,159536,-0.29887336,-94.15029846000002,0.005571620572584312,338.0
0.001,8,19045,476,760838,10.071947947056335,160888,-0.27094448,-94.30512255,0.005705212620390061,338.0
0.001,8,19091,480,762190,10.130439679298176,162240,-0.2700888,-94.27875381,0.005975412962594505,338.0
0.001,8,19135,484,763542,10.223058051611545,163592,-0.27214494,-94.35660153000002,0.0059875765155460794,338.0
0.001,8,19180,488,764894,10.22492384205203,164944,-0.24468975,-94.67998396000002,0.006120367876678352,338.0
0.001,8,19225,492,766246,10.037851782240105,166296,-0.3072408,-94.60492023999997,0.005887150490303805,338.0
0.001,8,19269,496,767598,10.175176050536026,167648,-0.2807321,-94.50461970999999,0.006003589580832986,338.0
0.001,8,19314,500,768950,10.367901629950168,169000,-0.26679686,-94.20780095999997,0.005863338001430607,338.0
0.001,8,19359,504,770302,10.123951782136274,170352,-0.26972717,-94.10488611999999,0.005733225993349179,338.0
0.001,8,19403,508,771654,10.112917203169603,171704,-0.27795413,-94.18812917,0.005975338547027632,338.0
0.001,8,19448,512,773006,10.260564389313467,173056,-0.3270769,-94.28187662000002,0.0059054970029003085,338.0
0.001,8,19493,516,774358,10.226762396344066,174408,-0.2899567,-94.40679073999998,0.00683575304371123,338.0
0.001,8,19537,520,775710,10.37481357077875,175760,-0.29924205,-94.32501954000001,0.006214183696666898,338.0
0.001,9,19582,524,777062,10.19960802969848,177112,-0.2552239,-94.11234359,0.0062226536063774976,338.0
0.001,9,19627,528,778414,10.289110773413844,178464,-0.2782063,-94.01748374999997,0.005940986205493073,338.0
0.001,9,19671,532,779766,10.403581876021166,179816,-0.2678661,-93.87583419,0.005969800167998089,338.0
0.001,9,19716,536,781118,10.231949301161004,181168,-0.26217946,-93.78188255,0.006292561455574658,338.0
0.001,9,19760,540,782470,9.97247799754848,182520,-0.22150333,-93.41060533,0.006101691606316782,338.0
0.001,9,19805,544,783822,10.201093969965827,183872,-0.24066162,-93.61168882000001,0.005730753243741023,338.0
0.001,9,19850,548,785174,10.187832126956014,185224,-0.27794877,-93.47922704000001,0.007027780823822866,338.0
0.001,9,19894,552,786526,10.258691457601694,186576,-0.28133526,-93.12623644000001,0.0064234430157750315,338.0
0.001,9,19939,556,787878,10.355749000459028,187928,-0.22219047,-93.09389048000001,0.0060505766487685885,338.0
0.001,9,19983,560,789230,10.234431619474874,189280,-0.2510276,-92.92146414999999,0.007032650566285135,338.0
0.001,9,20028,564,790582,10.334376306928826,190632,-0.27546084,-93.11036102,0.006535629789378031,338.0
0.001,9,20073,568,791934,10.338293563684768,191984,-0.26178527,-92.67318612,0.006822675529222649,338.0
0.001,9,20117,572,793286,10.202722490186522,193336,-0.28267625,-92.63392542,0.006268120370116415,338.0
0.001,9,20162,576,794638,10.268212758577787,194688,-0.3000399,-92.66346845,0.006740760959177856,338.0
0.001,9,20206,580,795990,10.305649624773736,196040,-0.26707125,-92.56075532999999,0.006412161865475527,338.0
0.001,9,20251,584,797342,10.376380435108434,197392,-0.25823098,-92.57130434000003,0.007574975139946407,338.0
0.001,9,20296,588,798694,10.297857078574818,198744,-0.27583992,-92.33290712999997,0.006644880865458069,338.0
0.001,9,20340,592,800046,10.428058457797801,200096,-0.31986657,-92.3705422,0.006581634279621555,338.0
